NCT ID,ICD-10 Codes
NCT00042224,"['F20.5', 'K12.31']"
NCT00042432,"['E21.0', 'E27.1']"
NCT00042666,['C81.00']
NCT00042939,['C25.3']
NCT00043108,['D70.1']
NCT00043186,"['A52.77', 'E83.81', 'M80.00']"
NCT00043550,"['F25.1', 'P91.4']"
NCT00043979,"['A08.11', 'C46.0']"
NCT00044213,['I21.01']
NCT00044512,"['D70.1', 'P59.20']"
NCT00045435,"['A51.31', 'C90.00', 'C90.10', 'C91.50', 'C92.00', 'C92.50', 'C94.00', 'C94.20', 'C94.6', 'H11.411']"
NCT00045487,"['A04.71', 'A18.11', 'D70.1']"
NCT00045734,"['A04.71', 'A17.1', 'C91.50']"
NCT00046228,"['I21.01', 'Y35.001', 'Y38.0']"
NCT00046930,"['A51.31', 'C90.10', 'C92.00', 'C92.50', 'C94.00', 'C94.20', 'C94.6', 'D46.0', 'D46.1', 'H11.411', 'R85.616']"
NCT00047320,"['A04.71', 'A06.6', 'A81.81', 'E71.520']"
NCT00047385,['D70.1']
NCT00047463,"['G40.001', 'G47.33', 'G47.39', 'N39.45']"
NCT00047619,"['A17.81', 'A66.4', 'G91.2', 'S22.5']"
NCT00047697,['F84.0']
NCT00047879,"['A06.6', 'G47.24']"
NCT00048035,['D46.0']
NCT00048048,['D46.0']
NCT00048061,['M80.00']
NCT00048347,"['A69.0', 'C81.00', 'H01.9']"
NCT00048542,['D61.3']
NCT00048568,['M05.10']
NCT00048932,['M05.10']
NCT00048997,['D70.1']
NCT00049036,"['A18.2', 'C81.00']"
NCT00049504,"['A04.71', 'A06.3', 'A06.7', 'A18.2', 'A19.1', 'A68.0', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C84.00', 'C84.60', 'C86.1', 'C86.5', 'C88.0', 'C90.00', 'C90.10', 'C94.6', 'C96.0', 'D46.0', 'E29.0', 'E71.520', 'H11.411', 'H16.041', 'H44.601', 'M31.30']"
NCT00050011,"['A52.77', 'C43.52', 'C96.0', 'E08.37', 'K12.31', 'M80.00', 'N95.0', 'T50.7', 'Z30.016', 'Z79.83']"
NCT00050960,['D70.1']
NCT00051311,"['C81.00', 'C90.02', 'C90.10', 'E70.330', 'Z29.11']"
NCT00051363,"['A07.0', 'D46.0', 'F10.182', 'G47.33']"
NCT00051558,['M80.00']
NCT00051636,"['A18.17', 'D46.20', 'P96.2', 'Z03.6']"
NCT00052078,"['A69.22', 'F40.10', 'F41.1', 'F93.0']"
NCT00052429,"['C11.0', 'D70.1']"
NCT00052442,"['A04.71', 'C81.00', 'C82.00', 'C83.50']"
NCT00052962,"['A21.3', 'D70.1', 'G90.50', 'P81.0']"
NCT00053677,"['A69.22', 'F63.0']"
NCT00053846,"['A00.9', 'A01.09', 'R06.09']"
NCT00054028,"['A04.71', 'C43.52']"
NCT00054132,"['A04.71', 'C43.52']"
NCT00054327,"['A04.71', 'A51.31', 'A68.0', 'A81.81', 'C81.00', 'C82.00', 'C83.50', 'C90.00', 'C90.10', 'C93.12', 'C93.32', 'C94.6', 'D46.0', 'D46.1', 'D47.1', 'E71.520', 'H11.411', 'R85.616']"
NCT00054353,['D46.0']
NCT00054665,"['C81.00', 'D68.51']"
NCT00054691,"['C22.0', 'D70.1', 'L51.2']"
NCT00054717,['A02.0']
NCT00054756,"['A18.81', 'C75.1', 'E23.3', 'R90.0', 'Y99.2', 'Z76.2']"
NCT00055237,"['A02.0', 'A18.4', 'C46.0', 'C46.4', 'D70.1']"
NCT00055497,['A18.17']
NCT00055692,"['A02.20', 'A04.71', 'P59.20']"
NCT00056160,"['C90.02', 'D46.0']"
NCT00056316,"['E08.37', 'F01.50', 'O09.811', 'P91.4']"
NCT00056472,"['A81.81', 'E08.37', 'F25.1', 'O66.40']"
NCT00056563,"['G24.01', 'G25.0']"
NCT00057681,['F31.0']
NCT00057746,"['D70.1', 'K02.51']"
NCT00057863,"['A04.71', 'C22.0', 'G54.2']"
NCT00058019,"['A04.71', 'C82.00', 'C84.60']"
NCT00058188,"['A18.14', 'M80.00']"
NCT00058422,['C81.00']
NCT00058552,"['D46.0', 'E28.0']"
NCT00059202,['K80.30']
NCT00059215,"['A07.0', 'A50.54']"
NCT00059332,"['A52.00', 'E61.2', 'F40.232', 'G46.3', 'I16.1', 'Z86.73']"
NCT00059475,"['C43.0', 'K12.31', 'Z05.41']"
NCT00060333,"['A04.71', 'C43.0']"
NCT00060424,"['A87.2', 'C91.30']"
NCT00060944,"['C00.0', 'D70.1', 'T41.1']"
NCT00061048,"['C90.10', 'D47.2', 'D68.312']"
NCT00061373,"['A18.4', 'G45.0', 'K12.31', 'R49.0', 'Z00.6']"
NCT00061568,"['A18.17', 'A50.01', 'D46.0', 'D56.1', 'J70.0', 'T86.00', 'Z00.5']"
NCT00061633,"['A02.0', 'A06.4', 'E08.621', 'H05.011', 'M61.30']"
NCT00061932,"['A04.0', 'A04.71', 'C16.0', 'C82.50', 'I86.4']"
NCT00061945,"['C83.50', 'F20.3']"
NCT00062374,['I86.4']
NCT00062738,"['A18.17', 'P91.4', 'T43.015']"
NCT00062751,"['C43.52', 'C96.0']"
NCT00062764,"['A51.45', 'D68.51', 'E08.00', 'E63.0', 'E66.01', 'E71.510', 'K70.30', 'K75.81']"
NCT00063154,['D70.1']
NCT00063232,"['A51.45', 'D68.51', 'E08.00', 'E63.0', 'E66.01', 'K70.30', 'K75.81', 'O24.414']"
NCT00063622,"['A07.0', 'K75.81']"
NCT00063635,"['E63.0', 'G62.1']"
NCT00063934,['C43.52']
NCT00063986,"['I85.00', 'S32.111']"
NCT00064077,"['A04.71', 'C22.0', 'G54.2']"
NCT00064298,"['C10.0', 'C13.0', 'C22.0', 'D70.1']"
NCT00064662,"['H05.331', 'N39.3']"
NCT00064701,"['A18.11', 'T86.00']"
NCT00064792,"['E72.12', 'E78.70', 'E78.72', 'O34.00', 'Z36.4']"
NCT00065065,"['A06.2', 'A18.17', 'A69.0']"
NCT00065156,['D46.1']
NCT00065260,"['C90.02', 'D46.0', 'D61.01', 'D69.41', 'D70.9']"
NCT00065468,"['A18.11', 'C22.0', 'C96.0']"
NCT00065611,"['A18.17', 'E78.81', 'F55.3', 'K06.011', 'M80.00', 'M99.00', 'R80.9']"
NCT00066066,"['E08.630', 'K04.4']"
NCT00066729,"['C57.00', 'E28.0', 'H18.52', 'K65.1']"
NCT00066937,['M26.601']
NCT00066963,"['E71.520', 'K02.3']"
NCT00067236,"['H04.031', 'I21.01', 'I50.1']"
NCT00067808,"['C93.12', 'C94.6']"
NCT00068237,"['C10.0', 'C13.0', 'C22.0', 'C44.02', 'D70.1', 'J70.0']"
NCT00068406,"['C22.0', 'N90.0']"
NCT00068445,"['A00.9', 'F45.41']"
NCT00068718,"['A04.71', 'C83.50', 'C90.10']"
NCT00068822,"['L02.212', 'M00.08', 'M80.00', 'Q98.6', 'S22.41']"
NCT00069095,['D70.1']
NCT00069108,['D70.1']
NCT00069160,"['C96.0', 'D68.51', 'D70.1', 'E28.0', 'E77.0', 'G54.2', 'Z60.5']"
NCT00069238,"['C81.00', 'C81.49']"
NCT00069264,"['A04.71', 'G47.22']"
NCT00069277,['D70.1']
NCT00069641,"['A39.1', 'D50.0']"
NCT00069953,"['C15.3', 'C22.0', 'I85.00']"
NCT00070070,"['A18.12', 'C22.0', 'C47.5']"
NCT00070941,"['A18.17', 'P91.4']"
NCT00071032,"['A01.03', 'A07.0', 'A18.17', 'A50.54', 'A52.00', 'D46.0', 'E70.330', 'E87.71', 'I21.01', 'O88.211']"
NCT00071058,"['A18.82', 'C96.0', 'D68.51', 'E27.0', 'E77.0', 'Z60.5']"
NCT00071110,"['F25.1', 'K12.31', 'P91.4']"
NCT00071513,"['E71.521', 'F19.10', 'H40.011', 'P91.4']"
NCT00071799,['D46.1']
NCT00071812,['M05.10']
NCT00071890,"['A02.0', 'Q25.21']"
NCT00072358,"['A02.20', 'A04.71', 'A71.0', 'B00.7', 'G90.50']"
NCT00072384,['H44.601']
NCT00072410,"['E28.0', 'H18.52']"
NCT00072566,"['A04.71', 'E28.0', 'K65.1']"
NCT00072761,"['A52.04', 'D46.0', 'E87.71', 'G46.3', 'I25.6']"
NCT00073073,"['C43.52', 'C96.0', 'E83.81', 'N95.0', 'R92.0', 'Y38.0']"
NCT00073307,"['C22.0', 'D70.1']"
NCT00073918,"['A04.71', 'A06.7', 'C81.49', 'C82.00', 'C83.50', 'C84.60', 'C88.0', 'H16.041']"
NCT00074412,"['A02.0', 'E08.37']"
NCT00074711,"['E83.81', 'M80.00']"
NCT00074815,"['E71.521', 'F42.9']"
NCT00075023,"['A06.1', 'A69.0', 'C96.0', 'D56.0', 'D89.813', 'H01.9', 'R13.12']"
NCT00075088,"['D57.01', 'I16.1', 'I21.01', 'I31.4']"
NCT00075270,"['C43.52', 'C96.0', 'P59.3']"
NCT00075478,"['A87.2', 'C81.00', 'C83.19', 'C83.39', 'C83.50', 'C88.0', 'C90.00', 'C90.10', 'C96.0', 'C96.21', 'D46.0', 'D47.1']"
NCT00075608,"['C00.0', 'C90.02', 'E85.0']"
NCT00075803,"['A02.29', 'C81.00', 'C90.10', 'D47.1']"
NCT00075881,['A19.1']
NCT00076011,['C96.0']
NCT00076024,"['C43.52', 'C96.0']"
NCT00076102,"['A08.11', 'G47.11', 'H47.021', 'O77.1', 'Q85.00', 'T36.0']"
NCT00076219,"['D61.89', 'G62.81', 'I95.3', 'O66.40', 'Z47.1']"
NCT00076245,"['J30.2', 'P91.4']"
NCT00076570,"['A18.11', 'D68.312', 'D89.0', 'R73.02', 'T86.00']"
NCT00076752,"['D46.0', 'D68.62', 'H01.121', 'L93.2', 'O99.111', 'R76.0']"
NCT00077064,"['A01.09', 'D70.1', 'J70.0', 'K02.51']"
NCT00077376,"['A04.71', 'C43.52', 'E70.321']"
NCT00077610,['D46.0']
NCT00077623,['D46.0']
NCT00077675,"['A02.0', 'A06.4', 'E08.621', 'H05.011', 'M61.30']"
NCT00077922,"['A06.1', 'A87.2', 'C90.10', 'D47.2', 'P61.0']"
NCT00077974,['C22.0']
NCT00078286,"['A06.1', 'B96.0', 'I50.1', 'P91.4']"
NCT00078325,"['G47.33', 'K03.0']"
NCT00078715,"['C08.0', 'N01.4', 'P91.4', 'Z72.820']"
NCT00078754,['F63.81']
NCT00078767,"['A69.22', 'F06.4', 'P91.4']"
NCT00078897,"['D70.1', 'E08.00', 'H74.40', 'K50.011', 'K51.40']"
NCT00079040,['D70.1']
NCT00079183,['A18.17']
NCT00079391,"['A18.17', 'A18.2', 'A87.2', 'C81.00', 'C83.50', 'C90.10', 'C94.6', 'D47.1', 'E70.330', 'T86.01']"
NCT00079417,['H44.601']
NCT00079677,"['F10.182', 'G47.33', 'K03.0']"
NCT00079781,"['F44.5', 'G40.001', 'T83.110']"
NCT00080119,"['A01.03', 'A02.29', 'A15.0', 'E08.37']"
NCT00080288,"['A06.1', 'G47.20', 'G47.26', 'K03.0']"
NCT00080301,['C43.52']
NCT00080470,"['A18.13', 'A50.44', 'D46.0', 'N39.3', 'N39.41']"
NCT00080483,"['D50.0', 'E23.0']"
NCT00080535,"['A06.7', 'C22.0', 'C81.00']"
NCT00080899,"['A04.71', 'A18.14']"
NCT00080938,"['A04.71', 'A06.5', 'C44.02', 'D70.1']"
NCT00081159,"['A04.71', 'A18.14', 'A52.77', 'D70.1']"
NCT00081263,"['C22.0', 'G54.2', 'N42.31']"
NCT00081939,['C90.02']
NCT00082173,['A15.0']
NCT00082329,"['C22.0', 'C96.0', 'C96.4', 'Y99.2', 'Z76.2']"
NCT00082342,"['A18.17', 'B08.21', 'W86.1']"
NCT00082355,['I24.0']
NCT00082368,['D70.1']
NCT00082381,"['E08.00', 'O24.414']"
NCT00082407,"['E08.00', 'O24.414']"
NCT00082628,"['A02.0', 'A39.1', 'E22.2']"
NCT00082758,['A04.71']
NCT00082888,"['A04.71', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C84.60', 'H16.041']"
NCT00083226,"['A02.20', 'A04.71', 'G47.22', 'P59.20']"
NCT00083382,"['C90.00', 'C90.02']"
NCT00083551,"['C90.02', 'D70.1', 'K12.31', 'T86.00']"
NCT00083616,"['D70.1', 'Z00.6']"
NCT00083915,"['C90.02', 'T86.00']"
NCT00084149,"['A02.0', 'A02.29', 'E08.37']"
NCT00084383,"['C25.0', 'C25.3']"
NCT00084409,"['D70.1', 'E08.00']"
NCT00084617,"['A04.0', 'A04.71', 'C16.0', 'C82.50', 'I86.4']"
NCT00084682,"['C10.0', 'C13.0', 'C22.0']"
NCT00084799,"['A04.71', 'D70.1']"
NCT00084838,"['E71.520', 'Z68.51']"
NCT00085098,"['A06.6', 'A81.81', 'E71.520']"
NCT00085202,"['A81.81', 'D33.0', 'E71.520']"
NCT00085293,"['A04.71', 'C82.00', 'H10.411']"
NCT00085540,"['A04.71', 'C84.60', 'C91.50']"
NCT00085631,"['C22.0', 'G54.2']"
NCT00085839,"['D70.1', 'Y65.51']"
NCT00085917,"['A02.0', 'A51.45', 'D82.3']"
NCT00085982,['D68.51']
NCT00086047,"['A06.1', 'M79.7', 'Z68.51']"
