subdir,checkpoint,roc_auc_mean,roc_auc_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,accuracy_mean,accuracy_std
mse_all,all_0.9_0.02_teacher_10.ckpt,0.6407057647948006,0.007542360758468029,0.725229089949315,0.006327316946364971,0.7420190123621679,0.009415800928024104,0.6859131530384909,0.008202117968070539,0.6350553505535055,0.0064016803624908645
mse_all,all_0.9_0.0_student_1.ckpt,0.6351164901550674,0.006959245940041099,0.745393383960307,0.006153729203470344,0.7396637977127807,0.007350710797207281,0.6629798590013083,0.008108489824609107,0.635956153679184,0.007329875307236241
mse_all,all_0.9_0.0_student_10.ckpt,0.6412722578616051,0.008369589605073776,0.7190655724580906,0.006556128257926258,0.7408378131691274,0.009572572078440974,0.6944921874004024,0.008215894355677784,0.6353592359453005,0.006226624556548072
mse_all,all_0.9_0.0_student_2.ckpt,0.6435621432697385,0.0077165123346901445,0.7398859983073494,0.005144795378761422,0.7467086593221033,0.007832159694646979,0.6799065699973185,0.007755982929731011,0.6427935749945736,0.005732742765148337
mse_all,all_0.9_0.0_student_3.ckpt,0.6465664799215588,0.007005055240293165,0.7328152160072416,0.00558349084673008,0.7448726493662312,0.007683101339765582,0.6871854360581148,0.007738792169205822,0.6416648578250487,0.006067340144674049
mse_all,all_0.9_0.0_student_4.ckpt,0.6453867966526784,0.00742527043434741,0.7368657769061284,0.005331070014757451,0.7448339535916891,0.008376623709761865,0.6790009848855424,0.007557411163796952,0.6398415454742782,0.005542020328751327
mse_all,all_0.9_0.0_student_5.ckpt,0.6488149052260744,0.007273467463184537,0.7281714329973786,0.00667249862392511,0.7496464328106308,0.00880557764966846,0.6981739940572091,0.009040503666583044,0.6443672672020837,0.0072663254883117605
mse_all,all_0.9_0.0_student_6.ckpt,0.6445717158412778,0.007950585130500247,0.7323508026756355,0.006787198143791475,0.7449752531799134,0.008972470339729864,0.6951422533502141,0.008721822378336729,0.6459409594095942,0.007043712872959845
mse_all,all_0.9_0.0_student_7.ckpt,0.6432542173317,0.00823652695763968,0.7306764102272284,0.007056725115659229,0.7444244818042776,0.009436742485197953,0.6922843923315657,0.008833403525886227,0.6429997829390057,0.007318239664576437
mse_all,all_0.9_0.0_student_8.ckpt,0.6442725661632985,0.008425129863898588,0.7296950217684374,0.006887589331711828,0.74087351686136,0.00925497872552689,0.6910553088991643,0.008715525832509318,0.6415237681788584,0.007307738045325885
mse_all,all_0.9_0.0_student_9.ckpt,0.6436315472856029,0.00890069414464061,0.7237548862806553,0.0068857637847418345,0.7396324523342762,0.009662302910096917,0.694320306510517,0.008693843871552854,0.6388213588018233,0.0069145000287029875
mse_all,all_0.9_0.0_teacher_1.ckpt,0.6336204061749187,0.008859191828424089,0.7525504746528282,0.005928176010262258,0.7341574067543211,0.008936864548065485,0.6495276673431863,0.007784780858187564,0.6317668764922943,0.007140770632177256
mse_all,all_0.9_0.0_teacher_10.ckpt,0.6442404550737948,0.0087328867752825,0.7274514466793605,0.006821702243103236,0.7429289440012321,0.00951813042278364,0.6954573190478995,0.008264099712158362,0.6423051877577599,0.007116787523895178
mse_all,all_0.9_0.0_teacher_2.ckpt,0.6434442687803308,0.007968377471172803,0.7414597055847436,0.006095562836631889,0.746581126775724,0.00840085037726621,0.6828659592507811,0.008284364105404767,0.6458975472107662,0.007196897771775316
mse_all,all_0.9_0.0_teacher_3.ckpt,0.64178382177178,0.007621075899471613,0.7302484528594315,0.005781804462767668,0.7465602705077032,0.008462275450728097,0.6872987062512844,0.007845054160389811,0.6397330149772086,0.006236821896005758
mse_all,all_0.9_0.0_teacher_4.ckpt,0.6454290962433188,0.008596193882581048,0.7288128378652239,0.005915652800554288,0.7493330425885505,0.009245548658511358,0.6945760832212119,0.007881115531787688,0.6428478402431084,0.006305761977800814
mse_all,all_0.9_0.0_teacher_5.ckpt,0.6456982666460649,0.008265420106896498,0.7268191796621357,0.006107848895891283,0.7493952932612222,0.00898868016923989,0.6967858458499505,0.008063190828585597,0.6425548079010202,0.006323473320816662
mse_all,all_0.9_0.0_teacher_6.ckpt,0.6439195382235767,0.008796253258151636,0.7290956900400929,0.0057809256832374485,0.7440242223054687,0.009361722178026152,0.6948059042297767,0.0078973304711824,0.6431951378337313,0.006206805896194365
mse_all,all_0.9_0.0_teacher_7.ckpt,0.64682926887212,0.008810301151421273,0.7312578456495832,0.006010334979164061,0.7484296633619415,0.009554488544916709,0.6987363671611252,0.008101793957057481,0.6470913826785327,0.006174336129584085
mse_all,all_0.9_0.0_teacher_8.ckpt,0.6459238894595675,0.009472821843187151,0.7291197138105528,0.006835972321091476,0.7438129831808403,0.009778911238425881,0.6985432789851318,0.00836727914471599,0.645322335576297,0.007226533933077838
mse_all,all_0.9_0.0_teacher_9.ckpt,0.6466478653395163,0.008911513810663699,0.7281684086550554,0.006710300298403073,0.7434793518947403,0.009402795952864489,0.6966204422395803,0.008304377128035096,0.6435098762752334,0.007085395858835953
mse_all,all_1.02_0.02_student_7.ckpt,0.647111000920632,0.008706139807105308,0.7342303556705683,0.0058439197476649425,0.7447451982730618,0.009435303329427299,0.693403933868089,0.007771143199840587,0.6464184935967008,0.0061315312629563485
mse_all,all_1.02_0.02_teacher_7.ckpt,0.6436529964918087,0.008536162209525707,0.7348792852845017,0.005762386854836901,0.7437923453684804,0.010044534960970799,0.6913351198598036,0.0074884961670733195,0.6457456045148687,0.0056383551756548425
